t,x,y,heading,turret_yaw,pitch,target_x,target_y,target_z
4.0000,5.0000,-2.0000,3.1416,2.5002,0.3779,0.0000,0.0000,1.8300
4.0200,5.0000,-2.0600,3.1416,2.4919,0.3760,0.0000,0.0000,1.8300
4.0400,5.0000,-2.1200,3.1416,2.4838,0.3740,0.0000,0.0000,1.8300
4.0600,5.0000,-2.1800,3.1416,2.4758,0.3721,0.0000,0.0000,1.8300
4.0800,5.0000,-2.2400,3.1416,2.4678,0.3702,0.0000,0.0000,1.8300
4.1000,5.0000,-2.3000,3.1416,2.4600,0.3682,0.0000,0.0000,1.8300
4.1200,5.0000,-2.3600,3.1416,2.4523,0.3663,0.0000,0.0000,1.8300
4.1400,5.0000,-2.4200,3.1416,2.4448,0.3643,0.0000,0.0000,1.8300
4.1600,5.0000,-2.4800,3.1416,2.4373,0.3624,0.0000,0.0000,1.8300
4.1800,5.0000,-2.5400,3.1416,2.4299,0.3604,0.0000,0.0000,1.8300
4.2000,5.0000,-2.6000,3.1416,2.4226,0.3585,0.0000,0.0000,1.8300
4.2200,5.0000,-2.6600,3.1416,2.4154,0.3566,0.0000,0.0000,1.8300
4.2400,5.0000,-2.7200,3.1416,2.4083,0.3546,0.0000,0.0000,1.8300
4.2600,5.0000,-2.7800,3.1416,2.4013,0.3527,0.0000,0.0000,1.8300
4.2800,5.0000,-2.8400,3.1416,2.3944,0.3508,0.0000,0.0000,1.8300
4.3000,5.0000,-2.9000,3.1416,2.3876,0.3489,0.0000,0.0000,1.8300
4.3200,5.0000,-2.9600,3.1416,2.3809,0.3470,0.0000,0.0000,1.8300
4.3400,5.0000,-3.0200,3.1416,2.3743,0.3451,0.0000,0.0000,1.8300
4.3600,5.0000,-3.0800,3.1416,2.3677,0.3432,0.0000,0.0000,1.8300
4.3800,5.0000,-3.1400,3.1416,2.3613,0.3413,0.0000,0.0000,1.8300
4.4000,5.0000,-3.2000,3.1416,2.3549,0.3394,0.0000,0.0000,1.8300
4.4200,5.0000,-3.2600,3.1416,2.3487,0.3375,0.0000,0.0000,1.8300
4.4400,5.0000,-3.3200,3.1416,2.3425,0.3357,0.0000,0.0000,1.8300
