distance_m,pitch_rad,pitch_deg,velocity_mps,rpm,rps,tof_s,apex_m
8.5000,0.48990784,28.0697,12.767299,3999.96,66.6660,0.843502,2.1497
8.5500,0.49192200,28.1851,12.767286,3999.95,66.6659,0.849981,2.1616
8.6000,0.49396973,28.3024,12.767201,3999.93,66.6655,0.856507,2.1738
8.6500,0.49605103,28.4216,12.767226,3999.94,66.6656,0.863070,2.1861
8.7000,0.49816589,28.5428,12.767262,3999.95,66.6658,0.869676,2.1987
8.7500,0.50031433,28.6659,12.767274,3999.95,66.6658,0.876328,2.2116
8.8000,0.50249634,28.7909,12.767262,3999.95,66.6658,0.883026,2.2246
8.8500,0.50471191,28.9179,12.767226,3999.94,66.6656,0.889773,2.2379
8.9000,0.50696106,29.0467,12.767201,3999.93,66.6655,0.896566,2.2514
8.9500,0.50924377,29.1775,12.767262,3999.95,66.6658,0.903402,2.2652
9.0000,0.51156006,29.3102,12.767396,3999.99,66.6665,0.910282,2.2792
9.0500,0.51394348,29.4468,12.767140,3999.91,66.6651,0.917259,2.2936
9.1000,0.51632690,29.5834,12.767335,3999.97,66.6662,0.924237,2.3081
9.1500,0.51877747,29.7238,12.767165,3999.92,66.6653,0.931312,2.3230
9.2000,0.52126160,29.8661,12.767055,3999.88,66.6647,0.938436,2.3381
9.2500,0.52374573,30.0084,12.767396,3999.99,66.6665,0.945563,2.3534
9.3000,0.52629700,30.1546,12.767420,4000.00,66.6666,0.952788,2.3691
9.3500,0.52891541,30.3046,12.767165,3999.92,66.6653,0.960111,2.3850
9.4000,0.53156738,30.4566,12.767079,3999.89,66.6648,0.967481,2.4014
9.4500,0.53425293,30.6104,12.767104,3999.90,66.6650,0.974904,2.4180
9.5000,0.53697205,30.7662,12.767262,3999.95,66.6658,0.982378,2.4348
9.5500,0.53975830,30.9259,12.767177,3999.92,66.6653,0.989954,2.4521
9.6000,0.54257813,31.0874,12.767238,3999.94,66.6656,0.997584,2.4697
9.6500,0.54546509,31.2528,12.767116,3999.90,66.6650,1.005316,2.4876
9.7000,0.54838562,31.4202,12.767165,3999.92,66.6653,1.013102,2.5059
9.7500,0.55133972,31.5894,12.767396,3999.99,66.6665,1.020944,2.5245
9.8000,0.55439453,31.7645,12.767152,3999.91,66.6652,1.028940,2.5435
9.8500,0.55748291,31.9414,12.767128,3999.90,66.6651,1.036993,2.5631
9.9000,0.56060486,32.1203,12.767347,3999.97,66.6662,1.045102,2.5828
9.9500,0.56382751,32.3049,12.767165,3999.92,66.6653,1.053368,2.6031
10.0000,0.56708374,32.4915,12.767238,3999.94,66.6656,1.061694,2.6239
