distance_m,v_radial_mps,delta_pitch_rad,delta_rpm,delta_vel_mps,tof_s
4.50000000,-3.00000000,0.19252014,-876.43051147,-2.79744186,0.50385446
4.50000000,-2.50000000,0.15253906,-741.51992798,-2.36682642,0.50339672
4.50000000,-2.00000000,0.11618347,-601.52435303,-1.91998040,0.50290641
4.50000000,-1.50000000,0.08308411,-456.98547363,-1.45863280,0.50241024
4.50000000,-1.00000000,0.05290527,-308.39538574,-0.98435432,0.50193105
4.50000000,-0.50000000,0.02531128,-156.02111816,-0.49799728,0.50145020
4.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50094046
4.50000000,0.50000000,-0.02322998,159.13391113,0.50793287,0.50045939
4.50000000,1.00000000,-0.04464722,321.51794434,1.02623967,0.49994452
4.50000000,1.50000000,-0.06438599,486.53411865,1.55294789,0.49947103
4.50000000,2.00000000,-0.07623596,594.25735474,1.89678517,0.50798061
4.50000000,2.50000000,-0.07532959,594.24209595,1.89673647,0.53303000
4.50000000,3.00000000,-0.07344971,594.24591064,1.89674864,0.55851119
4.75000000,-3.00000000,0.17556763,-899.80316162,-2.87204404,0.50337798
4.75000000,-2.50000000,0.13927917,-759.99832153,-2.42580683,0.50290880
4.75000000,-2.00000000,0.10621338,-615.56243896,-1.96478798,0.50240595
4.75000000,-1.50000000,0.07606812,-467.10968018,-1.49094783,0.50192700
4.75000000,-1.00000000,0.04850769,-314.91088867,-1.00515088,0.50145272
4.75000000,-0.50000000,0.02322998,-159.10720825,-0.50784764,0.50095537
4.75000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50045003
4.75000000,0.50000000,-0.02138367,162.09411621,0.51738142,0.49995696
4.75000000,1.00000000,-0.04112244,327.05688477,1.04391918,0.49946499
4.75000000,1.50000000,-0.05303955,435.34851074,1.38957069,0.50786390
4.75000000,2.00000000,-0.05213318,435.28366089,1.38936369,0.53289485
4.75000000,2.50000000,-0.05028687,435.50491333,1.39006990,0.55831182
4.75000000,3.00000000,-0.04750061,435.40954590,1.38976550,0.58423735
5.00000000,-3.00000000,0.16046143,-921.13494873,-2.94013208,0.50290323
5.00000000,-2.50000000,0.12746277,-776.92031860,-2.47981944,0.50242631
5.00000000,-2.00000000,0.09735107,-628.58963013,-2.00636893,0.50194453
5.00000000,-1.50000000,0.06979065,-476.34506226,-1.52042586,0.50143235
5.00000000,-1.00000000,0.04454651,-320.71685791,-1.02368271,0.50094313
5.00000000,-0.50000000,0.02135010,-161.82708740,-0.51652911,0.50045130
5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.49997729
5.00000000,0.50000000,-0.01973877,164.93606567,0.52645252,0.49946389
5.00000000,1.00000000,-0.03168945,273.51379395,0.87301723,0.50779594
5.00000000,1.50000000,-0.03081665,273.70071411,0.87361385,0.53276112
5.00000000,2.00000000,-0.02893677,273.59390259,0.87327292,0.55820634
5.00000000,2.50000000,-0.02618408,273.69308472,0.87358950,0.58406974
5.00000000,3.00000000,-0.02252502,273.49090576,0.87294417,0.61047921
5.25000000,-3.00000000,0.14700012,-940.92178345,-3.00328885,0.50241636
5.25000000,-2.50000000,0.11692200,-792.64831543,-2.53002097,0.50191966
5.25000000,-2.00000000,0.08942871,-640.69366455,-2.04500329,0.50144060
5.25000000,-1.50000000,0.06421814,-485.21423340,-1.54873500,0.50095156
5.25000000,-1.00000000,0.04105530,-326.51901245,-1.04220237,0.50046662
5.25000000,-0.50000000,0.01970520,-164.66903687,-0.52560021,0.49996147
5.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.49946504
5.25000000,0.50000000,-0.01195068,108.57391357,0.34655253,0.50777224
5.25000000,1.00000000,-0.01107788,108.74176025,0.34708827,0.53271437
5.25000000,1.50000000,-0.00919800,108.60061646,0.34663776,0.55813852
5.25000000,2.00000000,-0.00644531,108.65783691,0.34682040,0.58398190
5.25000000,2.50000000,-0.00281982,108.64639282,0.34678387,0.61032620
5.25000000,3.00000000,0.00157776,108.75701904,0.34713698,0.63715168
5.50000000,-3.00000000,0.13172607,-916.04995728,-2.92390151,0.50196158
